,title,topic,link
18,"Asparagus, drained solids, canned",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11015_100g.html
19,"Asparagus, drained, boiled, cooked",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11012_100g.html
20,"Asparagus, raw",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11011_100g.html
21,"Asparagus, with salt, drained, boiled, cooked",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11705_100g.html
22,"Asparagus, with salt, drained, boiled, cooked, frozen",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11709_100g.html
23,"Asparagus, without salt, drained, boiled, cooked, frozen",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11019_100g.html
24,"Avocados, all commercial varieties, raw",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_9037_100g.html
25,"Avocados, California, raw",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_9038_100g.html
26,"Babyfood, Baby MUM MUM Rice Biscuits",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3997_100g.html
27,"Babyfood, Banana with orange medley, GERBER",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_33878_100g.html
28,"Babyfood, dry fortified, oatmeal, cereal",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3189_100g.html
29,"Babyfood, fruit filling, fortified cereal bar",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3964_100g.html
30,"Babyfood, GERBER GRADUATE YOGURT MELTS, snack",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3302_100g.html
31,"Babyfood, junior, banana and strawberry, fruit",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3994_100g.html
32,"Babyfood, junior, beef, meat",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3003_100g.html
33,"Babyfood, junior, broccoli and chicken, dinner",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3298_100g.html
34,"Babyfood, junior, chicken, meat",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3013_100g.html
35,"Babyfood, junior, lamb, meat",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3011_100g.html
36,"Babyfood, junior, peaches, fruit",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3131_100g.html
37,"Babyfood, junior, squash, vegetables",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3105_100g.html
38,"Babyfood, junior, turkey sticks, meat",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3017_100g.html
39,"Babyfood, junior, turkey, meat",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3016_100g.html
40,"Babyfood, junior, vegetables and beef, dinner",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3054_100g.html
41,"Babyfood, mango and kiwi, apple, 3rd Foods, GERBER",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3025_100g.html
42,"Babyfood, multigrain cereal and added DHA fortified, with fruit, whole milk, yogurt",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3956_100g.html
43,"Babyfood, multigrain cereal and added iron fortified, with fruit, whole milk, yogurt",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3965_100g.html
44,"Babyfood, prepared with whole milk, barley, cereal",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3681_100g.html
45,"Babyfood, prepared with whole milk, mixed, cereal",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3685_100g.html
46,"Babyfood, prepared with whole milk, rice, cereal",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3694_100g.html
47,"Babyfood, prepared with whole milk, with bananas, mixed, cereal",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3686_100g.html
48,"Babyfood, prepared with whole milk, with bananas, oatmeal, cereal",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3690_100g.html
49,"Babyfood, prepared with whole milk, with bananas, rice, cereal",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3712_100g.html
50,"Babyfood, strained, beef, meat",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3002_100g.html
51,"Babyfood, strained, chicken, meat",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3012_100g.html
52,"Babyfood, strained, green beans, vegetables",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3091_100g.html
53,"Babyfood, strained, lamb, meat",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3010_100g.html
54,"Babyfood, strained, macaroni and cheese, dinner",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3089_100g.html
55,"Babyfood, strained, peaches, fruit",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3130_100g.html
56,"Babyfood, strained, peas, vegetables",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3121_100g.html
57,"Babyfood, strained, squash, vegetables",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3104_100g.html
58,"Babyfood, strained, turkey, meat",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3015_100g.html
59,"Babyfood, strained, veal, meat",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3005_100g.html
60,"Babyfood, strained, vegetables and beef, dinner",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3053_100g.html
61,"Babyfood, toddler, macaroni and cheese",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3048_100g.html
62,"Babyfood, toddler, potatoes with cheese and ham, dinner",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3304_100g.html
63,"Babyfood, toddlers, mashed cheddar potatoes and broccoli",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3959_100g.html
64,"Babyfood, tropical fruit medley",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_3026_100g.html
65,"Bagels, wheat",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_18968_100g.html
66,"Baking chocolate, squares, unsweetened",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_19078_100g.html
67,"Bananas, raw",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_9040_100g.html
68,Barley flour or meal,Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_20130_100g.html
69,"Basil, fresh",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_2044_100g.html
70,"Beans, canned, mature seeds, all types, kidney",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_16029_100g.html
71,"Beans, canned, mature seeds, navy",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_16039_100g.html
72,"Beans, drained solids, no salt added, canned, green, snap",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11729_100g.html
73,"Beans, drained solids, regular pack, canned, green, snap",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11056_100g.html
74,"Beans, drained solids, regular pack, canned, yellow, snap",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11932_100g.html
75,"Beans, drained without salt, boiled, cooked, frozen, green, snap",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11061_100g.html
76,"Beans, low sodium, solids and liquid, canned, mature seeds, red, kidney",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_16337_100g.html
77,"Beans, plain or vegetarian, canned, baked",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_16006_100g.html
78,"Beans, raw, green, snap",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11052_100g.html
79,"Beans, raw, mature seeds, navy",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_16037_100g.html
80,"Beans, raw, mature seeds, pinto",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_16042_100g.html
81,"Beans, solids and liquids, canned, mature seeds, red, kidney",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_16034_100g.html
82,"Beans, with pork and sweet sauce, canned, baked",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_16010_100g.html
83,"Beans, with pork and tomato sauce, canned, baked",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_16011_100g.html
84,"Beans, with salt, boiled, cooked, mature seeds, navy",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_16338_100g.html
85,"Beans, with salt, drained, boiled, cooked, frozen, green, snap",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11731_100g.html
86,"Beans, with salt, drained, boiled, cooked, frozen, yellow, snap",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11733_100g.html
87,"Beans, with salt, drained, boiled, cooked, green, snap",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11723_100g.html
88,"Beans, with salt, drained, boiled, cooked, yellow, snap",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11725_100g.html
89,"Beans, without salt, boiled, cooked, mature seeds, all types, kidney",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_16028_100g.html
90,"Beans, without salt, boiled, cooked, mature seeds, navy",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_16038_100g.html
91,"Beans, without salt, boiled, cooked, mature seeds, pinto",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_16043_100g.html
92,"Beans, without salt, drained, boiled, cooked, frozen, yellow, snap",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11732_100g.html
93,"Beans, without salt, drained, boiled, cooked, green, snap",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11053_100g.html
94,"Beans, without salt, drained, boiled, cooked, yellow, snap",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11724_100g.html
95,"Beef composite, cooked, choice, trimmed to 1/8"" fat, separable lean only",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23491_100g.html
96,"Beef Pot Pie, prepared, frozen entree",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_22529_100g.html
97,"Beef sausage, cooked, fresh",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_7956_100g.html
98,"Beef sausage, pre-cooked",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_7954_100g.html
99,"Beef stew, canned entree",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_22905_100g.html
100,"Beef, baked, cooked, loaf, 70% lean meat / 30% fat, ground",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13495_100g.html
101,"Beef, baked, cooked, loaf, 80% lean meat / 20% fat, ground",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23576_100g.html
102,"Beef, baked, cooked, loaf, 85% lean meat / 15% fat, ground",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23571_100g.html
103,"Beef, baked, cooked, loaf, 90% lean meat / 10% fat, ground",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23566_100g.html
104,"Beef, baked, cooked, loaf, 93% lean meat / 7% fat, ground",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23475_100g.html
105,"Beef, baked, cooked, loaf, 95% lean meat / 5% fat, ground",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23561_100g.html
106,"Beef, baked, cooked, loaf, 97% lean meat / 3% fat, ground",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23480_100g.html
107,"Beef, braised, cooked, all grades, separable lean and fat, chuck for stew",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23090_100g.html
108,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, arm pot roast, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13373_100g.html
109,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye Country-Style ribs",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23134_100g.html
110,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, mock tender steak, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23119_100g.html
111,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, short ribs, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23125_100g.html
112,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, shoulder pot roast",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23131_100g.html
113,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, under blade pot roast, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23099_100g.html
114,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, under blade steak, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23116_100g.html
115,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, flat half, brisket",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13369_100g.html
116,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, point half, brisket",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13371_100g.html
117,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, steak, bottom round, round",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13398_100g.html
118,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, top round, round",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13428_100g.html
119,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, whole, brisket",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13367_100g.html
120,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, blade roast, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13382_100g.html
121,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, chuck eye Country-Style ribs",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23071_100g.html
122,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, mock tender steak, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23086_100g.html
123,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, short ribs, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13982_100g.html
124,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, shoulder pot roast",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23083_100g.html
125,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, under blade pot roast, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13285_100g.html
126,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, under blade steak, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23098_100g.html
127,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, flat half, brisket",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13370_100g.html
128,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, point half, brisket",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13372_100g.html
129,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, steak, bottom round, round",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13407_100g.html
130,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, whole, brisket",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13368_100g.html
131,"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, arm pot roast, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13810_100g.html
132,"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, blade roast, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13816_100g.html
133,"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, flat half, brisket",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13806_100g.html
134,"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, point half, brisket",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13808_100g.html
135,"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, steak, bottom round, round",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13869_100g.html
136,"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, top round, round",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13892_100g.html
137,"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean only, arm pot roast, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23602_100g.html
138,"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean only, flat half, brisket",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23595_100g.html
139,"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean only, steak, bottom round, round",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23605_100g.html
140,"Beef, braised, cooked, choice, separable lean and fat, chuck for stew",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23092_100g.html
141,"Beef, braised, cooked, choice, separable lean and fat, shortribs, rib",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13148_100g.html
142,"Beef, braised, cooked, choice, separable lean only, shortribs, rib",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13150_100g.html
143,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye Country-Style ribs",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23135_100g.html
144,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, mock tender steak, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23120_100g.html
145,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, short ribs, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23126_100g.html
146,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, shoulder pot roast",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23132_100g.html
147,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, under blade pot roast, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13380_100g.html
148,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, under blade steak, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23117_100g.html
149,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, flat half, brisket",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13165_100g.html
150,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, bottom round, round",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13401_100g.html
151,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, top round, round",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13430_100g.html
152,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, arm pot roast, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13377_100g.html
153,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, chuck eye Country-Style ribs",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23069_100g.html
154,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, mock tender steak, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23084_100g.html
155,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, short ribs, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13980_100g.html
156,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, shoulder pot roast",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23081_100g.html
157,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, under blade pot roast, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13383_100g.html
158,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, under blade steak, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23096_100g.html
159,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, flat half, brisket",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13343_100g.html
160,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, steak, bottom round, round",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13410_100g.html
161,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, steak, flank",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13069_100g.html
162,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, top round, round",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13436_100g.html
163,"Beef, braised, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, arm pot roast, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13812_100g.html
164,"Beef, braised, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, flat half, brisket",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23660_100g.html
165,"Beef, braised, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, steak, bottom round, round",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13872_100g.html
166,"Beef, braised, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, top round, round",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13895_100g.html
167,"Beef, braised, cooked, choice, trimmed to 1/8"" fat, separable lean only, arm pot roast, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23614_100g.html
168,"Beef, braised, cooked, choice, trimmed to 1/8"" fat, separable lean only, flat half, brisket",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23615_100g.html
169,"Beef, braised, cooked, choice, trimmed to 1/8"" fat, separable lean only, steak, bottom round, round",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23622_100g.html
170,"Beef, braised, cooked, liver, variety meats and by-products",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13326_100g.html
171,"Beef, braised, cooked, select, separable lean and fat, chuck for stew",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23091_100g.html
172,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, arm pot roast, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13375_100g.html
173,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye Country-Style ribs",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23136_100g.html
174,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, mock tender steak, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23121_100g.html
175,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, short ribs, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23127_100g.html
176,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, shoulder pot roast",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23133_100g.html
177,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, under blade pot roast, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13381_100g.html
178,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, under blade steak, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23118_100g.html
179,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, flat half, brisket",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13950_100g.html
180,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, steak, bottom round, round",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13404_100g.html
181,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, top round, round",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13432_100g.html
182,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, arm pot roast, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_13378_100g.html
183,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, boneless, chuck eye Country-Style ribs",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23070_100g.html
184,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, boneless, mock tender steak, chuck",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_23085_100g.html
